Service Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Icon,Intro Text,Link Text,Link,Order
Local Authorities,local-authorities,64e715d72fb892b4208616f8,64e715d72fb892b420861afd,64e715d72fb892b420861716,false,false,Mon Aug 08 2022 17:13:21 GMT+0000 (Coordinated Universal Time),Tue Feb 21 2023 16:56:54 GMT+0000 (Coordinated Universal Time),Thu Aug 24 2023 09:56:37 GMT+0000 (Coordinated Universal Time),,SIT helps schools improve by unlocking the knowledge and experience of all staff. SIT helps governor/trustees to guide leadership by providing easy to read information about the school. SIT supports governors/trustees dive deeper into issues and helps them to use their experience to help schools improve. SIT helps to create dialogue between governors/trustees and SLT around key areas of school improvement.,Learn More,https://siat.webflow.io/sectors/local-authorities/,3
Headteachers,schools,64e715d72fb892b4208616f8,64e715d72fb892b420861afd,64e715d72fb892b42086175c,false,false,Wed Aug 17 2022 17:20:49 GMT+0000 (Coordinated Universal Time),Tue Feb 21 2023 16:54:59 GMT+0000 (Coordinated Universal Time),Thu Aug 24 2023 09:56:37 GMT+0000 (Coordinated Universal Time),,SIT helps schools improve by unlocking the knowledge and experience of all staff. SIT supports headteachers to improve their school and it's leadership by engaging everyone in tracking school progress. SIT helps headteachers to get improve their school by accessing and ordering the improvement data from across the school. SIT helps headteachers to save money on external consultancy by unlocking the expertise already in the school.,Learn more,https://siat.webflow.io/sectors/schools,1
Senior Leaders,trusts,64e715d72fb892b4208616f8,64e715d72fb892b420861afd,64e715d72fb892b420861733,false,false,Mon Aug 08 2022 17:13:43 GMT+0000 (Coordinated Universal Time),Tue Feb 21 2023 16:55:44 GMT+0000 (Coordinated Universal Time),Thu Aug 24 2023 09:56:37 GMT+0000 (Coordinated Universal Time),,"SIT helps schools improve by unlocking the knowledge and experience of all staff. SIT helps the SLT to update, review and progress the school improvement journey regularly through the simple interface and easy to complete audits. SLT are able to demonstrate progress (and next steps) in their area of responsibility simply; saving time and effort in the recording process. SIT provides a tool to use with staff to develop their journey",Learn More,https://siat.webflow.io/trusts/,2
